organization_name,organization_entity_type,organization_tax_id,organization_street_address_1,organization_city,organization_county,organization_state_province,organization_country,organization_postal_code,organization_phone,organization_email,organization_website,organization_mission_statement,organization_executive_administrator,organization_executive_administrator_title,proposal_date,proposal_name,proposal_focus,proposal_type,proposal_summary,proposal_primary_contact_name,proposal_primary_contact_title,proposal_primary_contact_phone,proposal_primary_contact_email,proposal_amount_requested,proposal_start_date,proposal_end_date,proposal_submitter_email,proposal_submitter_name
Wildlife Conservation Network,Nonprofit,123456789,123 Animal St,Atlanta,Fulton County,Georgia,United States,12345,555-123-4567,info@wcn.org,www.wcn.org,Protecting endangered wildlife and preserving natural habitats.,Sarah Green,CEO,2023-04-10,SaveTheWild,Endangered Wildlife Protection Program,Grant,Implementing conservation programs to protect endangered wildlife species.,Emily Clark,Conservation Director,555-123-4568,emily.clark@wcn.org,"$300,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Urban Development Initiative,Nonprofit,987654321,456 City St,Boston,Suffolk County,Massachusetts,United States,98765,555-987-6543,contact@udi.org,www.udi.org,Promoting sustainable urban development and community revitalization.,Jane Doe,Director,2023-03-15,CityRenew,Urban Revitalization Project,Grant,Developing projects to revitalize urban areas and improve community infrastructure.,John Smith,Urban Planner,555-987-6544,john.smith@udi.org,"$250,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Rural Health Initiative,Nonprofit,135792468,789 Country St,Chicago,Cook County,Illinois,United States,13579,555-246-8102,info@rhi.org,www.rhi.org,Improving healthcare access and services in rural communities.,Michael Brown,President,2023-02-20,HealthReach,Rural Healthcare Access Program,Grant,Expanding healthcare services and access in underserved rural areas.,Sophia Martin,Health Program Manager,555-246-8103,sophia.martin@rhi.org,"$200,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Children's Education Fund,Nonprofit,246810135,123 School St,Dallas,Dallas County,Texas,United States,24680,555-135-2468,contact@cef.org,www.cef.org,Supporting children's education and development.,Daniel Wilson,Executive Director,2023-01-25,EduStart,Early Childhood Education Initiative,Grant,Providing early childhood education programs to support children's development.,Chloe Taylor,Education Coordinator,555-135-2469,chloe.taylor@cef.org,"$150,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Clean Water Alliance,Nonprofit,864209753,456 Water St,Denver,Denver County,Colorado,United States,86420,555-209-8642,info@cwa.org,www.cwa.org,Ensuring access to clean and safe water for all communities.,Ethan Moore,CEO,2023-03-05,WaterForLife,Clean Water Access Program,Grant,Implementing projects to provide clean and safe water access in underserved communities.,Alice Brown,Water Program Director,555-209-8643,alice.brown@cwa.org,"$180,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Social Justice Network,Nonprofit,753951486,123 Justice St,Detroit,Wayne County,Michigan,United States,75395,555-951-7534,info@sjn.org,www.sjn.org,Advocating for social justice and equality.,Sarah Green,Executive Director,2023-04-01,EqualRights,Social Justice Advocacy Program,Grant,Developing advocacy programs to promote social justice and equality.,Emily Black,Advocacy Director,555-951-7535,emily.clark@sjn.org,"$120,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Art for Change,Nonprofit,963852741,123 Creative Blvd,Houston,Harris County,Texas,United States,96385,555-852-9637,info@afc.org,www.afc.org,Promoting social change through art and creativity.,Michael Brown,CEO,2023-03-25,CreativeImpact,Art and Social Change Initiative,Grant,Supporting artists and projects that use art as a tool for social change.,Sophia Martin,Arts Program Director,555-852-9638,sophia.martin@afc.org,"$200,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Community Sports League,Nonprofit,741963852,456 Sports St,Las Vegas,Clark County,Nevada,United States,74196,555-963-7419,contact@csl.org,www.csl.org,Fostering community engagement and physical activity through sports.,Daniel Wilson,Executive Director,2023-02-15,PlayTogether,Youth Sports Development Program,Grant,Developing youth sports programs to promote physical activity and teamwork.,Chloe Taylor,Sports Program Manager,555-963-7420,chloe.taylor@csl.org,"$150,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
Green Innovation Hub,Nonprofit,852741963,789 Eco St,Los Angeles,Los Angeles County,California,United States,85274,555-741-8527,info@gih.org,www.gih.org,Advancing sustainable innovation and green technologies.,Ethan Moore,President,2023-04-05,EcoTech,Sustainable Technology Incubator,Grant,Supporting the development of sustainable technologies and green innovation.,Alice Brown,Innovation Director,555-741-8528,alice.brown@gih.org,"$250,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
Health Education Alliance,Nonprofit,963741852,123 Wellness St,Miami,Miami-Dade County,Florida,United States,96374,555-741-9637,contact@hea.org,www.hea.org,Promoting health education and awareness.,Sarah Green,CEO,2023-01-20,EduHealth,Community Health Education Program,Grant,Implementing health education programs to raise awareness and promote healthy lifestyles.,Emily Clark,Health Educator,555-741-9638,emily.clark@hea.org,"$180,000.00",2023-08-01,2024-07-31,jmergy@philanthropydatacommons.org,Generated Data
Digital Literacy Network,Nonprofit,852963741,456 Tech St,Minneapolis,Hennepin County,Minnesota,United States,85296,555-963-8527,info@dln.org,www.dln.org,Improving digital literacy and access to technology.,Jane Doe,Director,2023-03-10,TechAccess,Digital Literacy and Access Program,Grant,Expanding digital literacy and access to technology in underserved communities.,John Smith,Technology Coordinator,555-963-8528,john.smith@dln.org,"$100,000.00",2023-10-01,2024-09-30,jmergy@philanthropydatacommons.org,Generated Data
Global Education Fund,Nonprofit,123456789,123 Global St,Nashville,Davidson County,Tennessee,United States,12345,555-123-4567,info@gef.org,www.gef.org,Promoting education and literacy worldwide.,Sarah Green,CEO,2023-03-15,EduWorld,International Education Program,Grant,Supporting education programs in developing countries to improve literacy and access to education.,Emily Clarkson,Education Program Director,555-123-4568,emily.clark@gef.org,"$300,000.00",2023-09-01,2024-08-31,jmergy@philanthropydatacommons.org,Generated Data
International Health Alliance,Nonprofit,987654321,456 Health St,New Orleans,Orleans Parish,Louisiana,United States,98765,555-987-6543,contact@iha.org,www.iha.org,Improving global health through collaboration and innovation.,Jane Doe,Director,2023-02-20,HealthLink,Global Health Initiative,Grant,Implementing health programs in underserved regions to address pressing health challenges.,John Smith,Health Program Manager,555-987-6544,john.smith@iha.org,"$250,000.00",2023-07-01,2024-06-30,jmergy@philanthropydatacommons.org,Generated Data
